route_code,km_per_week
NX1,57378
SKY,55605
OUT,32326
NX2,32118
70,30257
380,30233
STH,28070
WEST,25143
EAST,21872
83,21153
INN,18404
33,17803
18,17527
75,16362
25L,16234
66,16036
325,15094
31,14845
25B,14632
TMK,14240
82,14174
856,14034
309,13828
30,12664
120,12634
670,12559
313,11889
35,11868
24B,11789
361,11323
982,11180
32,10392
PUK,10339
95B,10231
68,10180
861,10023
24R,9720
195,9675
365,9623
MTIA,9589
917,9586
110,9258
133,9223
22R,9150
650,8824
CTY,8695
27H,8680
866,8589
27W,8556
132,8518
355,8513
923,8469
22N,8462
72C,8243
762,8097
97B,8036
295,8002
97R,7894
14W,7839
72M,7765
941,7582
942,7530
366,7461
743,7452
154,7418
20,7388
95C,7348
878,7247
134,7204
14T,6871
995,6573
981,6530
983,6530
321,6474
323,6415
712,6307
ONE,6232
906,6091
298,6042
739,6027
871,6026
814,6013
362,5943
105,5850
72X,5787
352,5716
162,5373
781,5308
843,5272
114,5005
801,4994
755,4943
353,4942
146,4912
782,4826
314,4689
PINE,4617
907,4600
735,4578
131,4409
152,4329
351,4290
112,4157
744,4019
125,3957
2,3907
926,3776
747,3769
711,3768
751,3679
901,3615
27T,3512
125X,3494
933,3488
138,3486
966,3283
733,3212
143,3068
1,3056
324,3006
883,2981
783,2981
865,2973
931,2911
141,2898
326,2823
734,2818
142,2795
377,2770
GULF,2674
889,2548
HMB,2463
775,2412
22A,2392
372,2242
986,2181
172,2098
170,2052
985,2002
373,1975
393,1968
371,1897
DEV,1828
392,1786
939,1756
885,1711
111,1709
WSTH,1695
396,1677
378,1653
928,1646
997,1616
884,1612
391,1590
774,1581
363,1565
984,1541
376,1529
106,1385
186,1384
107,1371
845,1361
171,1244
988,1231
252,1168
24W,1155
209,1124
996,1121
97V,1100
161,1095
714,1071
BIRK,1068
129,1068
171X,1034
101,1033
253,1024
151X,1015
806,988
369,957
132X,954
309X,936
394,919
368,904
3,881
122,869
133X,816
924,788
807,767
842,752
248X,740
802,720
395,701
172X,652
HOBS,640
BAYS,639
017,636
027,620
1A,612
4,610
028,600
046,581
029,574
006,570
013,537
243X,519
004,514
003,505
025,500
056,500
221X,494
012,492
031,487
010,486
020,470
223X,466
022,465
009,463
002,455
008,445
047,440
026,438
95G,436
061,434
073,420
001,413
890,404
045,403
055,394
053,362
049,343
064,321
058,321
522,314
510,303
042,290
007,288
059,284
074,283
398,279
014,277
005,267
015,250
033,250
060,235
418,226
050,214
SBAY,206
2X,206
413,206
054,203
019,203
523,198
084,192
077,188
087,184
018,180
70H,180
399,176
016,172
041,169
065,155
032,154
440,152
072,152
051,150
RAK,146
444,140
414,140
521,137
N11,137
076,136
081,132
417,131
412,130
071,130
333X,129
520,128
427,126
442,125
023,125
441,120
546,120
419,120
514,119
426,117
416,117
044,116
078,114
057,114
411,114
987,114
062,110
N10,109
516,106
069,106
402,105
094,104
515,104
075,103
089,103
421,102
070,102
547,102
035,101
039,101
430,100
040,95
092,94
431,92
401,86
052,83
542,83
436,80
524,80
080,80
525,79
425,78
410,77
549,75
079,74
433,71
500,69
548,69
036,67
512,67
415,67
030,66
024,65
505,63
095,61
501,59
400,59
511,58
434,56
544,55
083,53
545,53
034,52
082,52
096,52
037,48
420,48
439,47
090,45
091,45
435,45
220,44
097,41
437,41
048,40
088,34
067,33
541,33
543,32
432,31
443,30
531,30
093,28
530,27
519,26
063,23
813,21
540,11
